YearQuarterId,YearGroupId,Year,Quarter,FailureUnit,Zone,ZoneCategory,Location,LocationCategory,Direction
2015-Q4,G2015,2015,Q4,16,1,Low,French Guiana,C,Nil
2014-Q1,G2014,2014,Q1,6,1,Low,French Teritories,OFOT,Nil
2014-Q2,G2014,2014,Q2,18,2,Medium,French Guiana,C,Nil
2017-Q3,G2017,2017,Q3,67,2,Medium,Guadeloupe,C,Nil
2020-Q3,G2020,2020,Q3,118,3,High,La Réunion,C,Nil
2021-Q1,G2021,2021,Q1,49,2,Medium, Martinique,C,Nil
2015-Q4,G2015,2015,Q4,3,1,Low,French Teritories,OFOT,Nil
2024-Q4,G2024,2024,Q4,0,1,Low,France,C,Nil
2020-Q2,G2020,2020,Q2,4,1,Low,French Guiana,C,Nil
2022-Q2,G2022,2022,Q2,0,1,Low,French Teritories,OFOT,Nil
2016-Q1,G2016,2016,Q1,0,1,Low,French Teritories,OFOT,Nil
2019-Q1,G2019,2019,Q1,270,4,Very High,La Réunion,C,Nil
2023-Q4,G2023,2023,Q4,269,4,Very High,La Réunion,C,Nil
2017-Q4,G2017,2017,Q4,110,3,High,Guadeloupe,C,Nil
2015-Q4,G2015,2015,Q4,102,3,High, Martinique,C,Nil
2022-Q3,G2022,2022,Q3,9239,4,Very High,France,C,Nil
2015-Q4,G2015,2015,Q4,143,3,High,La Réunion,C,Nil
2021-Q3,G2021,2021,Q3,12,1,Low,French Guiana,C,Nil
2018-Q1,G2018,2018,Q1,14413,4,Very High,France,C,Nil
2016-Q2,G2016,2016,Q2,15203,4,Very High,France,C,Nil
2014-Q3,G2014,2014,Q3,13704,4,Very High,France,C,Nil
2019-Q2,G2019,2019,Q2,84,3,High,Guadeloupe,C,Nil
2015-Q2,G2015,2015,Q2,8,1,Low,French Teritories,OFOT,Nil
2018-Q1,G2018,2017,Q1,15,1,Low,French Guiana,C,Nil
2016-Q2,G2016,2016,Q2,11,1,Low,French Guiana,C,Nil
2021-Q3,G2021,2021,Q3,0,1,Low,French Teritories,OFOT,Nil
2018-Q4,G2018,2018,Q4,92,3,High, Martinique,C,Nil
2018-Q1,G2018,2018,Q1,103,3,High, Martinique,C,Nil
2018-Q2,G2018,2018,Q2,193,4,Very High,La Réunion,C,Nil
2016-Q4,G2016,2016,Q4,167,4,Very High,La Réunion,C,Nil
2017-Q2,G2017,2017,Q2,13750,4,Very High,France,C,Nil
2024-Q2,G2024,2024,Q2,19,2,Medium,French Teritories,OFOT,Nil
2014-Q1,G2014,2014,Q1,17,1,Low,French Guiana,C,Nil
2024-Q3,G2024,2024,Q3,13711,4,Very High,France,C,Nil
2022-Q4,G2022,2022,Q4,80,3,High, Martinique,C,Nil
2022-Q2,G2022,2022,Q2,9977,4,Very High,France,C,Nil
2019-Q1,G2019,2019,Q1,57,2,Medium,Guadeloupe,C,Nil
2020-Q1,G2020,2020,Q1,73,2,Medium, Martinique,C,Nil
2020-Q2,G2020,2020,Q2,45,2,Medium,Guadeloupe,C,Nil
2016-Q3,G2016,2016,Q3,125,3,High,La Réunion,C,Nil
2019-Q1,G2019,2018,Q1,29,2,Medium,French Guiana,C,Nil
2016-Q4,G2016,2016,Q4,0,1,Low,French Teritories,OFOT,Nil
2016-Q2,G2016,2016,Q2,95,3,High, Martinique,C,Nil
2015-Q2,G2015,2015,Q2,124,3,High,La Réunion,C,Nil
2014-Q2,G2014,2014,Q2,15624,4,Very High,France,C,Nil
2015-Q4,G2015,2015,Q4,66,2,Medium,Guadeloupe,C,Nil
2020-Q4,G2020,2020,Q4,46,2,Medium,Guadeloupe,C,Nil
2023-Q1,G2023,2023,Q1,59,2,Medium,Guadeloupe,C,Nil
2022-Q4,G2022,2022,Q4,144,3,High,La Réunion,C,Nil
2024-Q2,G2024,2024,Q2,16366,4,Very High,France,C,Nil
2019-Q3,G2019,2019,Q3,46,2,Medium,Guadeloupe,C,Nil
2023-Q1,G2023,2023,Q1,14608,4,Very High,France,C,Nil
2020-Q1,G2020,2019,Q1,23,2,Medium,French Guiana,C,Nil
2014-Q1,G2014,2014,Q1,138,3,High,La Réunion,C,Nil
2022-Q4,G2022,2022,Q4,4,1,Low,French Teritories,OFOT,Nil
2019-Q2,G2019,2019,Q2,22,2,Medium,French Guiana,C,Nil
2014-Q3,G2014,2014,Q3,60,2,Medium,Guadeloupe,C,Nil
2024-Q1,G2024,2023,Q1,21,2,Medium,French Guiana,C,Nil
2024-Q2,G2024,2024,Q2,100,3,High, Martinique,C,Nil
2015-Q3,G2015,2015,Q3,149,3,High,La Réunion,C,Nil
2014-Q4,G2014,2014,Q4,66,2,Medium,Guadeloupe,C,Nil
2024-Q3,G2024,2024,Q3,258,4,Very High,La Réunion,C,Nil
2021-Q4,G2021,2021,Q4,8073,4,Very High,France,C,Nil
2020-Q1,G2020,2020,Q1,26,2,Medium,Guadeloupe,C,Nil
2024-Q4,G2024,2024,Q4,0,1,Low,French Teritories,OFOT,Nil
2017-Q2,G2017,2017,Q2,90,3,High, Martinique,C,Nil
2018-Q4,G2018,2018,Q4,16,1,Low,French Guiana,C,Nil
2017-Q4,G2017,2017,Q4,14159,4,Very High,France,C,Nil
2021-Q2,G2021,2021,Q2,6662,4,Very High,France,C,Nil
2017-Q3,G2017,2017,Q3,0,1,Low,French Teritories,OFOT,Nil
2019-Q1,G2019,2019,Q1,0,1,Low,French Teritories,OFOT,Nil
2019-Q4,G2019,2019,Q4,8,1,Low,French Teritories,OFOT,Nil
2022-Q1,G2022,2021,Q1,12,1,Low,French Guiana,C,Nil
2015-Q1,G2015,2015,Q1,18612,4,Very High,France,C,Nil
2023-Q1,G2023,2023,Q1,174,4,Very High,La Réunion,C,Nil
2022-Q1,G2022,2022,Q1,137,3,High,La Réunion,C,Nil
2014-Q2,G2014,2014,Q2,157,4,Very High,La Réunion,C,Nil
2014-Q3,G2014,2014,Q3,0,1,Low,French Teritories,OFOT,Nil
2014-Q3,G2014,2014,Q3,140,3,High,La Réunion,C,Nil
2021-Q4,G2021,2021,Q4,232,4,Very High,La Réunion,C,Nil
2023-Q1,G2023,2023,Q1,121,3,High, Martinique,C,Nil
2023-Q1,G2023,2022,Q1,16,1,Low,French Guiana,C,Nil
2020-Q1,G2020,2020,Q1,98,3,High,La Réunion,C,Nil
2024-Q3,G2024,2024,Q3,15,1,Low,French Teritories,OFOT,Nil
2016-Q1,G2016,2015,Q1,16,1,Low,French Guiana,C,Nil
2016-Q4,G2016,2016,Q4,93,3,High,Guadeloupe,C,Nil
2020-Q3,G2020,2020,Q3,6830,4,Very High,France,C,Nil
2019-Q4,G2019,2019,Q4,51,2,Medium,Guadeloupe,C,Nil
2018-Q3,G2018,2018,Q3,77,3,High, Martinique,C,Nil
2015-Q3,G2015,2015,Q3,0,1,Low,French Teritories,OFOT,Nil
2019-Q4,G2019,2019,Q4,17,1,Low,French Guiana,C,Nil
2024-Q1,G2024,2024,Q1,60,2,Medium,Guadeloupe,C,Nil
2021-Q2,G2021,2021,Q2,4,1,Low,French Teritories,OFOT,Nil
2023-Q2,G2023,2023,Q2,0,1,Low,French Teritories,OFOT,Nil
2021-Q2,G2021,2021,Q2,126,3,High,La Réunion,C,Nil
2023-Q4,G2023,2023,Q4,102,3,High,Guadeloupe,C,Nil
2016-Q3,G2016,2016,Q3,11671,4,Very High,France,C,Nil
2018-Q3,G2018,2018,Q3,20,2,Medium,French Guiana,C,Nil
2019-Q4,G2019,2019,Q4,135,3,High, Martinique,C,Nil
2014-Q4,G2014,2014,Q4,155,3,High,La Réunion,C,Nil
2020-Q1,G2020,2020,Q1,10596,4,Very High,France,C,Nil
2016-Q4,G2016,2016,Q4,120,3,High,French Guiana,C,Nil
2016-Q2,G2016,2016,Q2,155,3,High,La Réunion,C,Nil
2022-Q3,G2022,2022,Q3,28,2,Medium,French Teritories,OFOT,Nil
2022-Q1,G2022,2022,Q1,10047,4,Very High,France,C,Nil
2024-Q4,G2024,2024,Q4,0,1,Low,La Réunion,C,Nil
2014-Q2,G2014,2014,Q2,17,1,Low,French Teritories,OFOT,Nil
2017-Q3,G2017,2017,Q3,10823,4,Very High,France,C,Nil
2021-Q2,G2021,2021,Q2,37,2,Medium,Guadeloupe,C,Nil
2021-Q1,G2021,2020,Q1,18,2,Medium,French Guiana,C,Nil
2022-Q4,G2022,2022,Q4,73,2,Medium,Guadeloupe,C,Nil
2015-Q2,G2015,2015,Q2,18,2,Medium,French Guiana,C,Nil
2020-Q2,G2020,2020,Q2,77,3,High,La Réunion,C,Nil
2015-Q3,G2015,2015,Q3,58,2,Medium,Guadeloupe,C,Nil
2015-Q2,G2015,2015,Q2,121,3,High, Martinique,C,Nil
2019-Q3,G2019,2019,Q3,35,2,Medium, Martinique,C,Nil
2018-Q2,G2018,2018,Q2,13394,4,Very High,France,C,Nil
2018-Q2,G2018,2018,Q2,86,3,High, Martinique,C,Nil
2023-Q3,G2023,2023,Q3,91,3,High, Martinique,C,Nil
2015-Q1,G2015,2015,Q1,2,1,Low,French Teritories,OFOT,Nil
2021-Q4,G2021,2021,Q4,59,2,Medium,Guadeloupe,C,Nil
2018-Q4,G2018,2018,Q4,14714,4,Very High,France,C,Nil
2023-Q3,G2023,2023,Q3,11,1,Low,French Guiana,C,Nil
2023-Q3,G2023,2023,Q3,11623,4,Very High,France,C,Nil
2018-Q3,G2018,2018,Q3,62,2,Medium,Guadeloupe,C,Nil
2020-Q2,G2020,2020,Q2,55,2,Medium, Martinique,C,Nil
2017-Q1,G2017,2017,Q1,65,2,Medium,Guadeloupe,C,Nil
2020-Q3,G2020,2020,Q3,19,2,Medium,French Guiana,C,Nil
2021-Q1,G2021,2021,Q1,7413,4,Very High,France,C,Nil
2018-Q2,G2018,2018,Q2,0,1,Low,French Teritories,OFOT,Nil
2014-Q3,G2014,2014,Q3,84,3,High, Martinique,C,Nil
2015-Q4,G2015,2015,Q4,16022,4,Very High,France,C,Nil
2014-Q4,G2014,2014,Q4,13,1,Low,French Teritories,OFOT,Nil
2024-Q2,G2024,2024,Q2,10,1,Low,French Guiana,C,Nil
2016-Q1,G2016,2016,Q1,16674,4,Very High,France,C,Nil
2018-Q3,G2018,2018,Q3,11520,4,Very High,France,C,Nil
2022-Q3,G2022,2022,Q3,8,1,Low,French Guiana,C,Nil
2024-Q1,G2024,2024,Q1,257,4,Very High,La Réunion,C,Nil
2014-Q4,G2014,2014,Q4,15939,4,Very High,France,C,Nil
2020-Q4,G2020,2020,Q4,1,1,Low,French Guiana,C,Nil
2021-Q3,G2021,2021,Q3,54,2,Medium, Martinique,C,Nil
2022-Q4,G2022,2022,Q4,11978,4,Very High,France,C,Nil
2023-Q4,G2023,2023,Q4,124,3,High, Martinique,C,Nil
2017-Q4,G2017,2017,Q4,9,1,Low,French Teritories,OFOT,Nil
2022-Q2,G2022,2022,Q2,63,2,Medium,Guadeloupe,C,Nil
2017-Q1,G2017,2017,Q1,15839,4,Very High,France,C,Nil
2018-Q1,G2018,2018,Q1,155,3,High,La Réunion,C,Nil
2021-Q2,G2021,2021,Q2,64,2,Medium, Martinique,C,Nil
2019-Q2,G2019,2019,Q2,83,3,High, Martinique,C,Nil
2022-Q3,G2022,2022,Q3,63,2,Medium, Martinique,C,Nil
2015-Q2,G2015,2015,Q2,15207,4,Very High,France,C,Nil
2016-Q1,G2016,2016,Q1,87,3,High, Martinique,C,Nil
2022-Q2,G2022,2022,Q2,19,2,Medium,French Guiana,C,Nil
2019-Q3,G2019,2019,Q3,17,1,Low,French Guiana,C,Nil
2017-Q1,G2017,2017,Q1,156,4,Very High,La Réunion,C,Nil
2016-Q4,G2016,2016,Q4,14607,4,Very High,France,C,Nil
2016-Q2,G2016,2016,Q2,17,1,Low,French Teritories,OFOT,Nil
2016-Q1,G2016,2016,Q1,64,2,Medium,Guadeloupe,C,Nil
2019-Q3,G2019,2019,Q3,147,3,High,La Réunion,C,Nil
2017-Q3,G2017,2017,Q3,68,2,Medium, Martinique,C,Nil
2018-Q2,G2018,2018,Q2,100,3,High,Guadeloupe,C,Nil
2021-Q3,G2021,2021,Q3,106,3,High,La Réunion,C,Nil
2021-Q1,G2021,2021,Q1,133,3,High,La Réunion,C,Nil
2019-Q2,G2019,2019,Q2,0,1,Low,French Teritories,OFOT,Nil
2024-Q4,G2024,2024,Q4,18,2,Medium,French Guiana,C,Nil
2017-Q2,G2017,2017,Q2,23,2,Medium,French Guiana,C,Nil
2016-Q3,G2016,2016,Q3,72,2,Medium,Guadeloupe,C,Nil
2015-Q3,G2015,2015,Q3,25,2,Medium,French Guiana,C,Nil
2017-Q4,G2017,2017,Q4,186,4,Very High,La Réunion,C,Nil
2023-Q2,G2023,2023,Q2,216,4,Very High,La Réunion,C,Nil
2023-Q2,G2023,2023,Q2,127,3,High, Martinique,C,Nil
2021-Q4,G2021,2021,Q4,12,1,Low,French Teritories,OFOT,Nil
2017-Q2,G2017,2017,Q2,191,4,Very High,La Réunion,C,Nil
2018-Q4,G2018,2018,Q4,77,3,High,Guadeloupe,C,Nil
2023-Q1,G2023,2023,Q1,15,1,Low,French Teritories,OFOT,Nil
2023-Q3,G2023,2023,Q3,72,2,Medium,Guadeloupe,C,Nil
2021-Q1,G2021,2021,Q1,0,1,Low,French Teritories,OFOT,Nil
2018-Q1,G2018,2018,Q1,12,1,Low,French Teritories,OFOT,Nil
2023-Q4,G2023,2023,Q4,28,2,Medium,French Teritories,OFOT,Nil
2017-Q2,G2017,2017,Q2,88,3,High,Guadeloupe,C,Nil
2024-Q2,G2024,2024,Q2,289,4,Very High,La Réunion,C,Nil
2024-Q4,G2024,2024,Q4,0,1,Low,Guadeloupe,C,Nil
2020-Q2,G2020,2020,Q2,17,1,Low,French Teritories,OFOT,Nil
2015-Q1,G2015,2014,Q1,20,2,Medium,French Guiana,C,Nil
2024-Q2,G2024,2024,Q2,84,3,High,Guadeloupe,C,Nil
2024-Q3,G2024,2024,Q3,14,1,Low,French Guiana,C,Nil
2017-Q3,G2017,2017,Q3,19,2,Medium,French Guiana,C,Nil
2014-Q1,G2014,2014,Q1,17297,4,Very High,France,C,Nil
2016-Q1,G2016,2016,Q1,137,3,High,La Réunion,C,Nil
2014-Q1,G2014,2014,Q1,95,3,High,Guadeloupe,C,Nil
2024-Q3,G2024,2024,Q3,86,3,High,Guadeloupe,C,Nil
2024-Q1,G2024,2024,Q1,108,3,High, Martinique,C,Nil
2021-Q3,G2021,2021,Q3,5434,4,Very High,France,C,Nil
2021-Q3,G2021,2021,Q3,33,2,Medium,Guadeloupe,C,Nil
2016-Q3,G2016,2016,Q3,94,3,High,French Teritories,OFOT,Nil
2015-Q1,G2015,2015,Q1,71,2,Medium,Guadeloupe,C,Nil
2024-Q3,G2024,2024,Q3,102,3,High, Martinique,C,Nil
2024-Q4,G2024,2024,Q4,0,1,Low, Martinique,C,Nil
2020-Q1,G2020,2020,Q1,0,1,Low,French Teritories,OFOT,Nil
2023-Q2,G2023,2023,Q2,21,2,Medium,French Guiana,C,Nil
2021-Q4,G2021,2021,Q4,4,1,Low,French Guiana,C,Nil
2020-Q4,G2020,2020,Q4,66,2,Medium, Martinique,C,Nil
2015-Q3,G2015,2015,Q3,75,3,High, Martinique,C,Nil
2019-Q4,G2019,2019,Q4,13290,4,Very High,France,C,Nil
2023-Q4,G2023,2023,Q4,8,1,Low,French Guiana,C,Nil
2017-Q1,G2017,2016,Q1,17,1,Low,French Guiana,C,Nil
2018-Q1,G2018,2018,Q1,84,3,High,Guadeloupe,C,Nil
2016-Q4,G2016,2016,Q4,115,3,High, Martinique,C,Nil
